X. Center of Geometry (µm)	Y. Center of Geometry (µm)	Z. Center of Geometry (µm)	Volume. Volume (µm³)	Mean. Intensities #1	SD. Intensities #1	Sphericity
22.10525719	266.8781387	346.7480161	19.09447276	43.3414956	8.121777342	0.64997368
26.22164253	268.71219	347.3472947	15.62215597	38.48040863	7.211798166	0.651755493
21.56161747	258.7222113	347.7255361	24.10350226	34.11968543	6.379006415	0.590558764
29.18706539	271.8281452	348.5910372	18.1005139	30.8857741	5.660431519	0.640705694
36.98172377	275.1353082	348.3688129	21.87363404	32.72391803	8.374044355	0.660340055
33.85028928	283.7456746	348.3965574	27.51042702	34.76177706	8.775523866	0.650969208
32.45343864	263.9598098	349.2411505	19.76801067	31.9025021	5.79742029	0.643986214
25.61421014	258.4550167	349.3922467	12.50949534	41.35861678	5.500162764	0.652571346
3.858446638	254.835647	350.1436297	24.50893284	32.32800471	8.796357774	0.651147195
16.29158431	255.2456758	350.3703408	26.09795917	34.14671761	7.712932557	0.631100097
12.75561321	258.3986635	350.2120283	22.87413209	37.74479768	8.495031561	0.654743364
24.17929209	280.5419268	351.7419053	14.64127552	30.65255354	7.074822101	0.627968862
36.84425448	272.6670603	352.0835831	28.85750284	36.72952525	9.071192199	0.643465981
39.15468254	288.1814502	352.5578703	25.81023424	33.41864124	9.132516714	0.657128094
36.39963569	263.4270619	352.6291563	25.68598938	37.26026846	9.92656075	0.647270031
15.83519369	271.3997869	353.404017	18.87213986	28.53084005	6.04911713	0.657021406
10.72053765	207.777027	330.6363507	30.22419627	46.90286216	11.43405762	0.665600374
7.810555556	206.5766734	333.7477205	21.3635762	39.11216185	8.7474486	0.654027205
16.55090075	203.6009775	335.6074817	13.96773761	35.56903087	7.890064813	0.637584351
21.68237429	202.6443929	335.8605132	25.2805588	48.03837609	7.996352765	0.632282448
19.17568978	206.4990155	338.6732943	14.33393298	43.53378522	5.641820603	0.647650362
24.65662122	203.0830009	339.1416338	20.76850873	42.83649181	7.348502114	0.633267465
13.71756996	199.5337858	340.0429262	31.1723807	41.17105728	12.1361978	0.639481658
21.77044384	206.5167649	342.9843799	19.32988407	43.48753803	6.917159927	0.65964478
31.05170115	195.6669917	343.3728877	20.54617583	30.10855777	5.106801957	0.554177727
32.16834749	208.5808782	346.3947771	21.09546888	35.85306531	5.096352914	0.655794581
38.60786485	197.4584445	346.2870083	29.94954974	43.80829097	10.42571381	0.655063402
20.20392685	201.6274777	349.8946972	33.16683762	41.9826587	10.11790727	0.647139804
8.680908507	274.4807515	122.4011704	21.3701154	32.54349644	6.753978245	0.619891475
34.02254039	255.4268421	121.9571287	23.47573877	39.92958257	9.790350441	0.652375012
19.9930219	283.1167153	125.1353577	15.22980379	27.93916965	6.829538659	0.603477564
29.63501091	286.708137	125.3433703	26.96767317	32.78336735	8.222445761	0.626206135
20.86666084	256.155627	125.9822825	22.05673172	42.07336687	8.521259036	0.621522664
24.40581207	265.5170026	126.6803848	19.8334027	36.7600459	8.07263582	0.655424858
17.59172365	258.5790146	127.7466555	30.02802018	42.24661885	9.980621795	0.651725704
27.21953988	260.277175	129.899245	25.25440199	43.69042005	8.939506015	0.628510199
34.09610495	260.4487158	130.949821	24.98629466	35.0842961	7.952247084	0.658839624
22.53701773	257.1342312	132.2697649	27.28809412	31.26808138	5.485316677	0.66391792
35.15455328	281.9105503	131.8364934	26.20258642	31.09284782	8.198068004	0.632129964
37.51690278	289.1505836	134.1107816	27.51042702	42.63061671	9.325743708	0.644313081
